Date,GDP_Growth_QoQ,CPI_YoY,Yield_Spread_10_2,IG_Credit_Spread,ISM_Manufacturing
2004-01-01,2.5,1.971,1.714,1.512,53.6
2004-02-01,2.158,2.027,1.493,1.658,52.5
2004-03-01,1.649,2.027,1.533,1.73,54.0
2004-04-01,1.421,2.134,1.748,1.481,50.3
2004-05-01,1.483,2.161,1.508,1.561,51.6
2004-06-01,0.558,2.113,1.817,1.571,53.1
2004-07-01,1.148,2.032,1.44,1.617,51.6
2004-08-01,0.792,1.977,1.631,1.572,53.9
2004-09-01,0.435,1.993,1.661,1.399,49.6
2004-10-01,-0.049,1.995,1.591,1.54,56.8
2004-11-01,0.331,1.796,1.497,1.562,51.4
2004-12-01,0.551,1.859,1.806,1.559,50.9
2005-01-01,0.966,2.005,1.542,1.448,53.4
2005-02-01,1.179,1.968,1.617,1.462,54.5
2005-03-01,1.107,2.024,1.398,1.641,51.4
2005-04-01,1.072,1.981,1.613,1.299,52.9
2005-05-01,1.286,2.103,1.374,1.63,52.3
2005-06-01,0.742,2.058,1.815,1.543,50.3
2005-07-01,0.612,2.062,1.73,1.564,53.0
2005-08-01,0.673,2.195,1.865,1.389,53.5
2005-09-01,0.391,2.288,1.65,1.545,53.9
2005-10-01,0.621,2.281,1.829,1.519,52.4
2005-11-01,0.387,2.398,1.895,1.733,54.3
2005-12-01,0.598,2.467,1.535,1.826,53.2
2006-01-01,0.565,2.571,1.605,1.583,57.0
2006-02-01,0.665,2.711,1.573,1.855,53.5
2006-03-01,-0.042,2.86,1.826,1.683,54.5
2006-04-01,-0.38,2.806,1.873,1.582,54.6
2006-05-01,0.215,2.757,1.803,1.691,53.0
2006-06-01,0.254,2.816,1.567,1.602,55.0
2006-07-01,0.183,2.81,1.721,1.68,56.9
2006-08-01,0.541,2.575,1.705,1.747,57.4
2006-09-01,0.761,2.67,1.574,1.52,52.9
2006-10-01,0.628,2.586,1.927,1.541,52.9
2006-11-01,0.276,2.579,2.074,1.736,54.0
2006-12-01,1.019,2.54,2.025,1.504,54.5
2007-01-01,1.143,2.529,1.685,1.427,51.9
2007-02-01,0.342,2.595,1.965,1.515,51.2
2007-03-01,0.627,2.466,1.508,1.595,54.8
2007-04-01,0.84,2.457,1.612,1.636,54.2
2007-05-01,1.04,2.35,1.885,1.686,54.9
2007-06-01,0.722,2.339,1.69,1.699,56.5
2007-07-01,1.202,2.376,1.769,1.62,51.6
2007-08-01,0.723,2.468,2.081,1.738,54.9
2007-09-01,1.099,2.464,1.8,1.362,57.4
2007-10-01,1.051,2.678,1.929,1.6,53.7
2007-11-01,1.572,2.767,1.817,1.491,54.1
2007-12-01,1.181,2.88,1.945,1.57,56.7
2008-01-01,1.282,2.954,1.992,1.741,53.7
2008-02-01,1.428,2.948,1.828,1.492,52.2
2008-03-01,1.084,2.924,1.743,1.69,57.4
2008-04-01,0.926,2.864,1.968,1.506,50.4
2008-05-01,0.621,2.881,1.703,1.641,57.5
2008-06-01,0.719,2.651,2.038,1.473,56.1
2008-07-01,0.887,2.625,1.937,1.659,52.7
2008-08-01,0.637,2.636,2.003,1.825,53.6
2008-09-01,0.68,2.537,1.669,1.669,50.5
2008-10-01,0.345,2.464,2.132,1.515,54.7
2008-11-01,0.085,2.508,1.849,1.58,56.6
2008-12-01,-0.697,2.569,1.859,1.636,54.3
2009-01-01,-1.062,2.606,1.659,1.642,51.2
2009-02-01,-1.172,2.436,1.866,1.629,54.6
2009-03-01,-0.953,2.596,1.784,1.499,55.8
2009-04-01,-0.202,2.589,2.093,1.702,55.0
2009-05-01,-0.064,2.841,1.898,1.41,53.2
2009-06-01,-0.018,2.849,1.849,1.56,51.2
2009-07-01,0.124,2.902,2.134,1.613,56.4
2009-08-01,-0.455,2.877,1.747,1.682,54.9
2009-09-01,-0.368,2.938,1.788,1.493,53.5
2009-10-01,-0.66,3.086,1.867,1.665,56.4
2009-11-01,-0.79,3.134,2.143,1.802,56.5
2009-12-01,0.143,3.225,1.871,1.513,52.4
2010-01-01,0.86,3.288,1.975,1.672,56.3
2010-02-01,1.122,3.164,1.894,1.57,58.8
2010-03-01,1.171,3.224,1.82,1.758,57.8
2010-04-01,1.197,3.178,1.953,1.401,54.6
2010-05-01,0.631,3.226,2.03,1.524,52.3
2010-06-01,0.034,3.155,1.799,1.439,54.4
2010-07-01,0.163,3.271,2.007,1.384,59.2
2010-08-01,-0.04,3.235,1.66,1.73,58.1
2010-09-01,-0.345,3.41,1.865,1.62,51.3
2010-10-01,-0.325,3.389,2.147,1.621,59.5
2010-11-01,-0.305,3.466,1.987,1.67,53.5
2010-12-01,-0.184,3.368,2.12,1.381,55.7
2011-01-01,-0.452,3.39,2.195,1.625,53.6
2011-02-01,-0.377,3.337,2.132,1.48,53.9
2011-03-01,-0.817,3.391,2.088,1.436,55.4
2011-04-01,-0.203,3.514,2.145,1.391,55.1
2011-05-01,0.435,3.61,2.063,1.464,52.3
2011-06-01,-0.072,3.566,1.996,1.35,54.8
2011-07-01,0.11,3.476,2.16,1.501,53.4
2011-08-01,0.005,3.452,2.119,1.458,54.2
2011-09-01,0.05,3.372,2.085,1.64,54.4
2011-10-01,0.067,3.46,2.291,1.832,52.5
2011-11-01,0.534,3.491,2.117,1.42,54.2
2011-12-01,0.676,3.542,2.421,1.663,57.0
2012-01-01,0.227,3.43,1.878,1.475,55.6
2012-02-01,0.225,3.355,2.226,1.512,53.1
2012-03-01,0.184,3.281,2.086,1.521,54.4
2012-04-01,-0.163,3.309,2.227,1.541,54.3
2012-05-01,-0.057,3.341,2.025,1.612,54.1
2012-06-01,-0.057,3.166,2.296,1.396,52.0
2012-07-01,0.495,3.269,2.274,1.691,53.9
2012-08-01,0.346,3.427,2.168,1.388,55.0
2012-09-01,0.47,3.284,1.998,1.619,52.4
2012-10-01,-0.499,3.214,2.098,1.398,50.1
2012-11-01,-1.096,3.275,1.988,1.658,56.3
2012-12-01,-0.8,3.214,2.102,1.542,55.1
2013-01-01,-0.629,3.185,1.864,1.496,56.5
2013-02-01,-0.171,3.169,1.925,1.799,58.1
2013-03-01,-0.606,3.023,1.89,1.507,57.6
2013-04-01,-0.629,2.977,2.24,1.461,54.2
2013-05-01,-1.532,2.877,2.136,1.553,55.4
2013-06-01,-1.637,2.846,1.878,1.605,53.6
2013-07-01,-1.564,2.846,2.063,1.583,54.4
2013-08-01,-1.369,2.866,2.295,1.644,54.6
2013-09-01,-1.385,2.871,2.077,1.599,55.2
2013-10-01,-0.796,2.809,1.916,1.369,53.2
2013-11-01,-1.256,2.824,2.003,1.464,55.0
2013-12-01,-1.58,2.984,2.129,1.5,52.2
2014-01-01,-1.159,2.912,2.273,1.619,50.7
2014-02-01,-1.137,2.657,1.991,1.355,53.3
2014-03-01,-0.432,2.567,1.799,1.507,55.5
2014-04-01,-0.091,2.465,2.15,1.556,52.0
2014-05-01,0.055,2.319,2.06,1.321,51.3
2014-06-01,-0.639,2.268,1.859,1.491,56.5
2014-07-01,-0.79,2.194,1.875,1.503,52.3
2014-08-01,-0.564,2.184,2.024,1.447,52.9
2014-09-01,-0.737,2.218,1.859,1.463,55.1
2014-10-01,-0.514,2.408,1.902,1.405,53.6
2014-11-01,-0.317,2.454,2.16,1.333,56.1
2014-12-01,-0.602,2.443,2.227,1.463,52.8
2015-01-01,-0.957,2.276,2.156,1.487,52.2
2015-02-01,-0.427,2.148,1.96,1.347,54.7
2015-03-01,-0.343,2.045,2.14,1.474,55.3
2015-04-01,-0.27,2.012,1.887,1.353,52.3
2015-05-01,0.155,1.846,2.185,1.605,49.6
2015-06-01,0.825,1.853,2.015,1.807,50.9
2015-07-01,-0.422,1.955,2.417,1.401,49.8
2015-08-01,0.223,1.989,2.201,1.654,51.7
2015-09-01,0.589,2.089,2.19,1.328,52.4
2015-10-01,0.382,2.061,2.13,1.407,51.1
2015-11-01,0.797,2.095,2.293,1.075,55.1
2015-12-01,0.644,2.095,1.991,1.36,51.8
2016-01-01,1.186,2.143,2.001,1.505,54.4
2016-02-01,1.464,2.21,1.937,1.32,50.9
2016-03-01,1.409,2.107,2.144,1.503,51.5
2016-04-01,0.949,1.982,1.949,1.465,54.5
2016-05-01,0.841,1.89,2.076,1.479,49.5
2016-06-01,0.365,1.965,2.116,1.437,48.5
2016-07-01,0.03,1.999,2.264,1.358,49.6
2016-08-01,0.097,2.073,1.746,1.482,52.6
2016-09-01,0.031,1.995,1.859,1.493,49.8
2016-10-01,-0.24,1.994,2.2,1.229,51.4
2016-11-01,0.455,2.026,2.345,1.452,53.5
2016-12-01,0.166,1.866,2.086,1.197,52.1
2017-01-01,0.129,1.825,2.042,1.544,50.2
2017-02-01,0.109,1.843,1.984,1.227,54.7
2017-03-01,-0.784,1.854,2.174,1.351,53.6
2017-04-01,0.38,1.785,2.019,1.426,53.7
2017-05-01,0.093,1.76,1.872,1.323,51.7
2017-06-01,0.374,1.808,2.18,1.473,51.7
2017-07-01,-0.542,1.842,1.864,1.323,50.0
2017-08-01,-0.528,1.893,2.041,1.266,52.6
2017-09-01,-1.104,1.918,1.991,1.399,52.3
2017-10-01,-1.142,1.902,1.838,1.339,51.3
2017-11-01,-0.464,1.936,1.996,1.343,48.8
2017-12-01,-0.082,1.912,1.919,1.478,51.5
2018-01-01,0.178,1.762,2.112,1.174,48.3
2018-02-01,0.352,1.775,2.158,1.374,50.8
2018-03-01,-0.403,1.653,2.053,1.318,48.3
2018-04-01,-0.798,1.551,2.089,1.52,47.2
2018-05-01,-0.46,1.501,2.029,1.374,51.2
2018-06-01,0.153,1.555,1.673,1.233,48.4
2018-07-01,0.312,1.532,1.826,1.339,47.1
2018-08-01,0.492,1.7,1.953,1.37,50.0
2018-09-01,0.637,1.753,1.907,1.379,52.4
2018-10-01,0.821,1.754,2.046,1.261,50.6
2018-11-01,0.89,1.586,1.833,1.285,50.6
2018-12-01,0.314,1.642,2.122,1.181,47.7
2019-01-01,0.656,1.677,1.829,1.343,50.3
2019-02-01,0.197,1.707,1.696,1.227,47.0
2019-03-01,-0.42,1.711,1.962,1.164,46.5
2019-04-01,-0.306,1.678,1.816,1.298,52.3
2019-05-01,-0.793,1.709,1.861,1.342,50.3
2019-06-01,-1.107,1.629,2.121,1.252,51.4
2019-07-01,-0.9,1.525,1.945,1.359,53.9
2019-08-01,-1.094,1.604,1.942,1.182,47.1
2019-09-01,-1.286,1.549,1.945,1.215,47.9
2019-10-01,-0.911,1.499,1.661,1.375,46.3
2019-11-01,-0.33,1.521,1.769,1.174,52.6
2019-12-01,0.012,1.654,1.755,1.382,49.6
2020-01-01,0.37,1.798,1.973,1.445,49.7
2020-02-01,-0.279,1.859,1.816,1.322,48.7
2020-03-01,0.024,1.706,1.884,1.275,48.1
2020-04-01,0.015,1.804,1.845,1.193,44.7
2020-05-01,-0.274,1.932,1.728,1.365,47.0
2020-06-01,-0.353,1.934,2.032,1.304,48.6
2020-07-01,-0.453,1.986,2.041,1.121,48.1
2020-08-01,-0.805,1.896,1.982,1.141,50.8
2020-09-01,-1.464,1.834,2.021,1.315,50.3
2020-10-01,-1.096,1.819,1.7,1.209,46.8
2020-11-01,-0.829,1.809,1.874,1.456,47.7
2020-12-01,-0.173,1.796,1.947,1.226,49.5
2021-01-01,0.309,1.819,1.974,1.142,47.2
2021-02-01,0.336,1.8,1.546,1.383,50.3
2021-03-01,0.626,1.903,1.598,1.277,48.3
2021-04-01,1.148,1.765,1.897,1.187,50.0
2021-05-01,0.698,1.866,1.606,1.201,49.5
2021-06-01,0.488,1.946,1.595,1.151,47.1
2021-07-01,0.523,1.941,1.63,1.16,44.0
2021-08-01,-0.099,1.913,1.872,1.15,48.9
2021-09-01,-0.518,1.963,1.772,1.317,51.3
2021-10-01,-0.176,1.919,1.635,1.089,49.2
2021-11-01,-0.322,1.962,1.682,1.177,48.2
2021-12-01,-0.092,1.974,1.84,1.026,49.0
2022-01-01,-0.124,1.9,1.535,1.393,50.0
2022-02-01,0.388,2.015,1.608,1.187,43.5
2022-03-01,0.44,2.076,1.373,0.934,48.0
2022-04-01,0.427,2.094,1.752,0.917,48.1
2022-05-01,0.252,2.233,1.704,1.033,48.5
2022-06-01,-0.195,2.344,1.345,1.356,47.5
2022-07-01,-0.785,2.325,1.585,1.144,43.9
2022-08-01,0.4,2.333,1.224,1.059,45.7
2022-09-01,0.466,2.347,1.528,1.25,47.7
2022-10-01,0.808,2.389,1.672,1.218,46.6
2022-11-01,0.333,2.457,1.331,1.059,45.5
2022-12-01,0.471,2.485,1.36,1.125,47.2
2023-01-01,0.553,2.495,1.639,0.989,47.0
2023-02-01,0.125,2.385,1.426,0.93,47.9
2023-03-01,0.913,2.358,1.512,0.976,47.5
2023-04-01,1.373,2.323,1.646,1.266,46.9
2023-05-01,1.103,2.309,1.792,0.965,45.0
2023-06-01,1.384,2.25,1.455,1.232,42.3
2023-07-01,1.651,2.217,1.636,0.828,48.4
2023-08-01,1.64,2.127,1.846,0.867,50.7
2023-09-01,1.611,2.127,1.575,1.212,48.2
2023-10-01,1.427,2.03,1.507,1.028,49.1
2023-11-01,1.218,2.158,1.372,1.014,44.3
2023-12-01,0.461,2.126,1.635,1.281,44.5
