tau_s,tau_h,Baseline (Gaussian/Gaussian) | seed=777,Baseline (Gaussian/Gaussian) | seed=778,Baseline (Gaussian/Gaussian) | seed=779,Baseline (Gaussian/Gaussian) | seed=780,Baseline (Gaussian/Gaussian) | seed=781,Baseline (Gaussian/Gaussian) | seed=782,Baseline (Gaussian/Gaussian) | seed=783,Baseline (Gaussian/Gaussian) | seed=784,Baseline (Gaussian/Gaussian) | seed=785,Baseline (Gaussian/Gaussian) | seed=786,Bounded Agent (Uniform/Gaussian) | seed=777,Bounded Agent (Uniform/Gaussian) | seed=778,Bounded Agent (Uniform/Gaussian) | seed=779,Bounded Agent (Uniform/Gaussian) | seed=780,Bounded Agent (Uniform/Gaussian) | seed=781,Bounded Agent (Uniform/Gaussian) | seed=782,Bounded Agent (Uniform/Gaussian) | seed=783,Bounded Agent (Uniform/Gaussian) | seed=784,Bounded Agent (Uniform/Gaussian) | seed=785,Bounded Agent (Uniform/Gaussian) | seed=786,Heavy Tail Noise (Gaussian/Student-t) | seed=777,Heavy Tail Noise (Gaussian/Student-t) | seed=778,Heavy Tail Noise (Gaussian/Student-t) | seed=779,Heavy Tail Noise (Gaussian/Student-t) | seed=780,Heavy Tail Noise (Gaussian/Student-t) | seed=781,Heavy Tail Noise (Gaussian/Student-t) | seed=782,Heavy Tail Noise (Gaussian/Student-t) | seed=783,Heavy Tail Noise (Gaussian/Student-t) | seed=784,Heavy Tail Noise (Gaussian/Student-t) | seed=785,Heavy Tail Noise (Gaussian/Student-t) | seed=786,Baseline (Gaussian/Gaussian) | mean,Baseline (Gaussian/Gaussian) | ci_lo,Baseline (Gaussian/Gaussian) | ci_hi,Bounded Agent (Uniform/Gaussian) | mean,Bounded Agent (Uniform/Gaussian) | ci_lo,Bounded Agent (Uniform/Gaussian) | ci_hi,Heavy Tail Noise (Gaussian/Student-t) | mean,Heavy Tail Noise (Gaussian/Student-t) | ci_lo,Heavy Tail Noise (Gaussian/Student-t) | ci_hi
1.0,0.0002777777777777778,5.256309382940458,5.1887861185405235,5.152694534237896,5.147307695211821,5.173271181777655,5.228144738228426,5.464601804169282,5.105780632280825,5.1469670170381026,5.106311271026095,4.708881551323427,4.704401341924634,4.723200187575787,4.691714549877283,4.714895944229438,4.720504375907028,4.7132434040478435,4.707865396295369,4.7063325541123975,4.707442880883612,5.080417196829491,5.089159785145831,5.119315512373075,5.086415353239451,5.054781726176555,5.120324524238523,5.090567369749391,5.09570034768091,5.143456536271202,5.159476103027396,5.197017437545108,5.1316167869026446,5.262418088187572,4.709848218617682,4.704341895748997,4.715354541486367,5.103961445473183,5.084478865553125,5.1234440253932405
2052.25641025641,0.5700712250712251,0.27542158871930994,0.281140396538311,0.2728402406393426,0.2804993936715849,0.2854888827238444,0.29525180335451856,0.2899260634442273,0.2952598421599707,0.28003215338776116,0.287483753404284,0.2840015545776577,0.2842641607889565,0.28147674322691224,0.2877403903039369,0.27936032645004727,0.2884268752224186,0.2831502917022729,0.27065781810107015,0.29196396401013097,0.2825762662873938,0.3493048172535595,0.342851203007174,0.3707340870652831,0.36273802036409064,0.362792396030494,0.3572063161038092,0.3507101921910378,0.36209802707546884,0.3654650787806612,0.3513082765425977,0.2843344118043154,0.27955111310084363,0.2891177105077872,0.2833618390670797,0.2797735285963022,0.28695014953785714,0.3575208414414176,0.3521277112084909,0.3629139716743443
4103.51282051282,1.1398646723646724,0.16184234185924237,0.15640921533307459,0.15640736709579559,0.16269738985290733,0.14607800964171042,0.1584202926469166,0.16487560441011073,0.16131746572190314,0.15775777997951637,0.16338466583199981,0.170085619810264,0.1476898714302533,0.16145681618540694,0.15911864656617478,0.1630438498649552,0.1636819368440836,0.15755578816337543,0.1595703196109972,0.1636903906095927,0.14373373787442212,0.19304810006551937,0.2014512761363753,0.20180553119622222,0.20152734786558113,0.21092645747038222,0.20003242904599042,0.20943005655035177,0.2090854139371932,0.21792663351834876,0.2062652274512147,0.1589190132373177,0.15556795500470996,0.16227007146992542,0.15896269769595256,0.15410614725081673,0.1638192481410884,0.20514984732371794,0.20080491627478875,0.20949477837264713
6154.7692307692305,1.7096581196581195,0.1057054929506642,0.11469603920267109,0.10825158655600718,0.10578180553448381,0.1100675711665439,0.10427630448765415,0.1082075846110495,0.10722832464817582,0.11115194411950853,0.1077597824954075,0.11625716576311143,0.10020696749803067,0.10690210178956278,0.11030688785396768,0.11471576194259073,0.10907118397877087,0.10642100852114963,0.10689241921557822,0.10152605926118365,0.10308616337246063,0.1443077154182554,0.16200154283069462,0.14456493020872654,0.14755539983962662,0.1541869686477141,0.1509474992547525,0.14235738873872136,0.1421930400916607,0.1601623523511685,0.13692748305019847,0.10831264357721657,0.1064318074360602,0.11019347971837293,0.10753857191964063,0.10427630204752955,0.1108008417917517,0.1485204320431519,0.14345133770706484,0.15358952637923898
8206.02564102564,2.279451566951567,0.09414228520016264,0.0777236259064606,0.08493667953532306,0.07951752007669145,0.08648630654649297,0.07992730849360913,0.08323523237749288,0.08221223779416817,0.07395667351959961,0.07250256588702265,0.08248683995581363,0.08819545869814649,0.07869555851908276,0.08085521830913672,0.08443274515268707,0.08317106715811982,0.08301560251995788,0.07642512884693789,0.08266284533548554,0.09182529133890464,0.11293706215590206,0.10983102240582407,0.10864387699326582,0.11473322447718569,0.10562772565340552,0.119434584419802,0.10631513980893885,0.11437181819508441,0.12212748839106265,0.11157959046816886,0.08146404353370232,0.07755214351565302,0.08537594355175161,0.08317657558342724,0.0804561901544294,0.08589696101242508,0.112560153296864,0.1092433408508521,0.1158769657428759
10257.28205128205,2.8492450142450143,0.07377369619266919,0.06422666850213517,0.06445668952410598,0.07768710847461201,0.06277254742740367,0.06913395947861657,0.06534113058166115,0.07405067004674563,0.06609265468493906,0.07113756311635001,0.0702659419334074,0.07010419425124798,0.06967409878512448,0.06422358633812306,0.06840536785372724,0.07073620403027171,0.06934076534526763,0.06287853690307639,0.08295479977173663,0.08085588991604528,0.10022212441198694,0.08908708161103927,0.09331660495305175,0.09126910329210891,0.09944194061055216,0.09337111254586093,0.09755809250637085,0.09248326432633319,0.08418304472574371,0.09916821538313206,0.06886726880292385,0.06571895301925623,0.07201558458659146,0.07094393851280278,0.06699928189546117,0.0748885951301444,0.09401005843661797,0.0908172670077302,0.09720284986550574
12308.538461538461,3.4190384615384612,0.0548275024888566,0.053023019863264464,0.054354454586413484,0.04729081070836765,0.05564887968801884,0.05762450202583311,0.048992238920589175,0.05716780429381246,0.05713535890370843,0.05887534244809327,0.05201951891679473,0.06173017636490845,0.05228561692734013,0.05988797064740837,0.05874763835987079,0.06508956734355599,0.05829390528088756,0.05115092678210239,0.05370581359506464,0.055877239711870724,0.07833677362902898,0.0761101082220975,0.08141392927540171,0.07445008469604168,0.08228556405992056,0.0767108235382609,0.08038383820572706,0.06863386736084567,0.0721453790749534,0.07029137630257817,0.05449399139269575,0.05214834264625705,0.05683964013913445,0.05687883739298037,0.05400057186100845,0.059757102924952295,0.07607617443648558,0.07316859726440678,0.07898375160856438
14359.794871794871,3.9888319088319086,0.043313943392647346,0.05735420349071778,0.05003997070518422,0.05181065737265782,0.04970742826006878,0.04509041949223456,0.050241147725758085,0.05597269956464583,0.05166816344100726,0.05464750063605938,0.045655996647439676,0.04780714027255773,0.05169590471273498,0.04427555836520105,0.04866516377461068,0.04532274577164942,0.04774535363425773,0.04988617843135447,0.050543069086263624,0.050083303701494164,0.07262475838126424,0.06238423699955043,0.07168057907583661,0.06328098693359183,0.06731055228744198,0.06714177686863086,0.07535216619752112,0.06560693075739582,0.06259356121561432,0.06965248743513781,0.0509846134080981,0.048238517988588324,0.05373070882760788,0.04816804143975635,0.0466383715337305,0.0496977113457822,0.06776280361519851,0.06498229676428907,0.07054331046610796
16411.05128205128,4.558625356125356,0.04328057110915164,0.0401111600190467,0.04287953559771772,0.042105608136775864,0.04679259637577285,0.03820637767811141,0.0429779727045034,0.03884708171161891,0.04454831253933262,0.045828567749856775,0.046186647043014006,0.0463906556634131,0.04395757143860386,0.04410495424715332,0.04284961625392326,0.040190615243427374,0.04236430461945711,0.046749116321390435,0.038424821472857446,0.04816415762898647,0.05633959637647676,0.06052524487469636,0.05579260144369572,0.05930992118076754,0.06121767605855079,0.058212721706467,0.05917437281440325,0.059902654305542175,0.0629831648646888,0.060088096330167484,0.04255777836218878,0.04080119606050888,0.044314360663868686,0.04393824599322263,0.04203392807822702,0.04584256390821824,0.05935460499554559,0.058016288257224845,0.06069292173386633
18462.30769230769,5.128418803418803,0.03600504077586389,0.04007427717399373,0.04138933210998284,0.03827124901498295,0.040120329687249656,0.03942948390056918,0.03434449638004777,0.0361294158009167,0.035507500234714474,0.03751473570689663,0.03744973427340856,0.03921442625586023,0.03793700796004488,0.03893855204802657,0.04029180578779065,0.03948696111001492,0.03593327790359251,0.035012123583909316,0.04102226742664859,0.04245816806909725,0.056054411178838984,0.044773725360866566,0.054357679166483104,0.051671578749009184,0.05401427647852404,0.05164001623062361,0.05309167872279035,0.05154104811464639,0.05722604849578749,0.04506970682685361,0.037878586078521785,0.03642437331657814,0.03933279884046543,0.038774432441839354,0.03736809775346319,0.04018076713021552,0.05194401693244233,0.04937004440938289,0.054517989455501764
20513.5641025641,5.698212250712251,0.03940576235909622,0.037530464162740085,0.03741127485316449,0.034485427159624285,0.035948368724701626,0.02780101070614416,0.03495469112506571,0.028896379384409573,0.03249143793598093,0.03768906381236745,0.034487012211883925,0.03974649410315989,0.03989805458483658,0.032585136680280485,0.033421636031888254,0.03707534072353778,0.03183277015625023,0.03733897360099772,0.032945151164257856,0.03172198488981352,0.043248318463350255,0.04294457850976388,0.052832180586664196,0.052557486983700205,0.05290138443965356,0.05091233230927774,0.052303022101036455,0.04987193782422889,0.05092693793537536,0.046813613140093704,0.03466138802232945,0.032267596234329926,0.03705517981032898,0.035105255414690624,0.03314777256832638,0.03706273826105487,0.04953117922931442,0.0471457850396903,0.051916573418938544
22564.82051282051,6.268005698005697,0.030882206440659078,0.03192797923640752,0.030669412236005254,0.030618836030409102,0.029952044026238543,0.026070204257715925,0.03702334235791889,0.03001901429760757,0.025511465187096533,0.03154058381979676,0.03408526829961142,0.032315245182262725,0.030108085507350068,0.027482722475038156,0.028114498257302337,0.03155719861573497,0.03128601043367484,0.028925695178938057,0.030703148403753197,0.03281539508569958,0.043275697200776904,0.03772265520140783,0.04304917727932108,0.04482367021905023,0.03785987559900555,0.04270769332815656,0.04038436326256536,0.040247352894677915,0.0460132991471737,0.04812600645031716,0.030421508788985512,0.028452382662549024,0.032390634915422,0.030739326743936535,0.029430384610050608,0.03204826887782246,0.042420979058245226,0.04031223052319956,0.044529727593290894
24616.076923076922,6.837799145299145,0.026358542966959535,0.032146147599887716,0.02969103521565925,0.024195092674327467,0.028166501620113228,0.033163120832889144,0.026314313390464493,0.03001244297342472,0.02958388911001893,0.03350660712415394,0.02875843853219489,0.03274095305299353,0.02712822348185291,0.028076416686376934,0.029140926302910083,0.02941134668416511,0.029291500516557285,0.029143870941767118,0.02315907517921509,0.026793408346487555,0.04357593860652415,0.03954169261060069,0.03895401853662548,0.040200117040764566,0.048309181414920514,0.036685189161645135,0.037757489734135286,0.035525974472202654,0.038596241064067324,0.03407067981850213,0.02931376935078984,0.027393733946306075,0.031233804755273608,0.02836441597245205,0.026851160288430768,0.029877671656473332,0.039321652245998796,0.03677677026889625,0.04186653422310134
26667.333333333332,7.407592592592592,0.02381391028510413,0.026553545720754492,0.03205279515540158,0.02551991793572187,0.018437142721371362,0.024881864930757478,0.022044895835153764,0.026732649672468026,0.02462557614636678,0.03194381635536086,0.028259211586121234,0.02272381933127927,0.02332014801086689,0.024278850820968395,0.03186017311240339,0.024726532854502388,0.022735394549350342,0.027512503457988714,0.0209112373452529,0.02796034541376914,0.03645351515263112,0.03933285758661466,0.035382025149544354,0.038184750327977995,0.03946022479239103,0.03410168101281101,0.03301539515988114,0.04082031794393472,0.03477794447792043,0.03718923140635486,0.025660611475846036,0.023108097354534687,0.028213125597157385,0.025428821648250267,0.02334877506041858,0.027508868236081955,0.036871794301006136,0.035278223417769726,0.038465365184242546
28718.589743589742,7.9773860398860394,0.02640864468089845,0.020844427695038067,0.023970142378897514,0.027680027913119475,0.025421262155775427,0.023681815540363617,0.026959973784206046,0.02357817508099181,0.025775466272869738,0.025689932858452457,0.025834493914163693,0.029966923896791026,0.02537420552640336,0.023432770171993522,0.0275525530628643,0.023244437053517773,0.027230012143711277,0.021462046898773336,0.028942990460779437,0.02426097930627399,0.03614367704431968,0.036252919398937385,0.03430214151611306,0.034085161052939184,0.03399615970388078,0.03589031576068812,0.04034116612084881,0.03273315754154076,0.036975073291442465,0.03496725423420723,0.025000986836061258,0.023755356121380442,0.026246617550742073,0.025730141243527172,0.024054110220413216,0.02740617226664113,0.03556870256649174,0.03425657552707494,0.03688082960590855
30769.846153846152,8.547179487179486,0.024691854409462168,0.026619490314518535,0.025866137547600386,0.02591282498945368,0.024083714322599713,0.02901812502824437,0.023845241259269116,0.015399680604786595,0.02245460312335747,0.020886799618290885,0.023333027808748328,0.020775821319614723,0.02275892443477292,0.021086272834382584,0.024048348848207758,0.025135148930097575,0.01818808047138902,0.023458249032271717,0.025436249651198506,0.02069792571831988,0.03206477522858011,0.03293353942321097,0.03753920948719447,0.036275251651961125,0.029294570304378213,0.03120821590928904,0.03217919763678024,0.02913611844045203,0.03533593877387076,0.03229602119046904,0.02387784712175829,0.021562554807030967,0.026193139436485616,0.0224918049049003,0.021083703563327044,0.02389990624647356,0.0328262838046186,0.031092762684325165,0.03455980492491203
32821.10256410256,9.116972934472933,0.01708914971020216,0.024753233473303184,0.021597589910181736,0.02349116286558558,0.024599105174215777,0.022279195781749406,0.02427540806362907,0.020930866695270983,0.02239300682936422,0.015462256631762613,0.022884356481673578,0.019648167091078035,0.019638910840556915,0.022693318603302086,0.016277517454036317,0.023286447534784812,0.019314659474665496,0.018735541676401596,0.01901816997751825,0.018884763142984082,0.03034146380915184,0.027325470981517122,0.02732478192799947,0.02680072303165186,0.026833279670414587,0.030084380412472342,0.030595381124345667,0.03066592815434574,0.033551842663874384,0.02839086768890019,0.02168709751352647,0.01973637220116342,0.02363782282588952,0.020038185227700116,0.01865618326132679,0.02142018719407344,0.02919141194646732,0.02781847631423529,0.030564347578699354
34872.35897435897,9.68676638176638,0.02098488827043293,0.021382473217128398,0.022413990126538656,0.018345643874853285,0.017815759878981655,0.021434699307147552,0.023347103712039755,0.024812412863466457,0.017895115007631288,0.012757887439494582,0.021818552908726977,0.02415968416544551,0.022767042097255004,0.01681918261204299,0.018588142025089065,0.022420557337805118,0.020938620107996794,0.022627746628147285,0.020728859764650966,0.019930127672354435,0.03101673883672673,0.0318060499375242,0.03144932987991252,0.026621183109708922,0.030714422073211563,0.027808433470649322,0.025593595803905852,0.023983749955339174,0.024380440063235694,0.026292389297531818,0.020118997369771456,0.017958347094156005,0.022279647645386907,0.021079851531951417,0.019726702489831074,0.02243300057407176,0.02796663324277458,0.02608763762986757,0.029845628855681587
36923.61538461538,10.256559829059828,0.02093850129283302,0.018344656481739288,0.017894638124560797,0.01867405497921384,0.021871068595238467,0.018876913367557636,0.019858993935598937,0.01774574012867705,0.022508127121041784,0.019928517866494057,0.020620898095551024,0.01777078835766716,0.021000295640809675,0.02159876254944844,0.018064068586650862,0.019165679794365842,0.017866631419050993,0.02194011398433371,0.019582204650135375,0.020713604093860697,0.02372238524556134,0.028392800936976124,0.03143961206078456,0.020327098853841236,0.020869598378041962,0.02610854055070139,0.02536986020892699,0.028998662867638435,0.02521455305202936,0.02881157525627428,0.019664121189295485,0.01863437645504045,0.02069386592355052,0.019832304717187377,0.018861659102151884,0.02080295033222287,0.02592546874107756,0.02369198486352253,0.02815895261863259
